Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
Young Adult,15,1,0.5,0.2857142857142857,0.380952380952381,0.21052631578947367,0.09523809523809523,Happiness
Young Adult,16,5,0.3125,0.5714285714285714,0.14285714285714288,0.6052631578947367,0.5238095238095237,Anger
Young Adult,17,0,0.125,0.14285714285714285,0.09523809523809526,0.07894736842105263,0.2857142857142857,Neutral
Young Adult,15,1,1.0,1.0,0.9047619047619048,0.736842105263158,1.0,Anxiety
Adult,16,2,0.03125,0.0,0.0,0.0,0.047619047619047616,Boredom
Young Adult,16,1,0.6875,0.42857142857142855,0.5238095238095238,0.34210526315789475,0.40476190476190477,Happiness
Young Adult,15,5,0.28125,0.2857142857142857,0.23809523809523814,0.21052631578947367,0.23809523809523808,Anger
Young Adult,17,0,0.4375,0.7142857142857142,0.1904761904761905,0.2631578947368421,0.33333333333333326,Sadness
Young Adult,15,2,0.09375,0.14285714285714285,0.04761904761904762,0.02631578947368421,0.0,Neutral
Adult,16,1,0.8125,0.5714285714285714,0.7142857142857143,0.47368421052631576,0.6428571428571428,Happiness
Young Adult,15,5,0.21875,0.42857142857142855,0.28571428571428575,0.13157894736842105,0.2857142857142857,Anxiety
Young Adult,17,0,0.34375,0.2857142857142857,0.14285714285714288,0.21052631578947367,0.23809523809523808,Sadness
Adult,16,2,0.15625,0.0,0.06666666666666668,0.05263157894736842,0.16666666666666663,Boredom
Young Adult,15,1,0.875,0.8571428571428572,0.8095238095238095,0.6052631578947367,0.7619047619047619,Happiness
Young Adult,16,5,0.375,0.7142857142857142,0.33333333333333337,0.5526315789473684,0.47619047619047616,Anger
Young Adult,17,0,0.0,0.0,0.0,0.0,0.047619047619047616,Neutral
Adult,15,1,0.53125,0.42857142857142855,0.4761904761904762,0.42105263157894735,0.5238095238095237,Anxiety
