User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
1.0,25.0,Female,Instagram,120.0,3.0,45.0,10.0,12.0,Happiness
2.0,30.0,Male,Twitter,90.0,5.0,20.0,25.0,30.0,Anger
3.0,22.0,Non-binary,Facebook,60.0,2.0,15.0,5.0,20.0,Neutral
4.0,28.0,Female,Instagram,200.0,8.0,100.0,30.0,50.0,Anxiety
5.0,33.0,Male,LinkedIn,45.0,1.0,5.0,2.0,10.0,Boredom
6.0,21.0,Male,Instagram,150.0,4.0,60.0,15.0,25.0,Happiness
7.0,27.0,Female,Twitter,85.0,3.0,30.0,10.0,18.0,Anger
8.0,24.0,Non-binary,Facebook,110.0,6.0,25.0,12.0,22.0,Sadness
9.0,29.0,Female,LinkedIn,55.0,2.0,10.0,3.0,8.0,Neutral
10.0,31.0,Male,Instagram,170.0,5.0,80.0,20.0,35.0,Happiness
11.0,23.0,Female,Twitter,75.0,4.0,35.0,7.0,20.0,Anxiety
12.0,26.0,Non-binary,Facebook,95.0,3.0,20.0,10.0,18.0,Sadness
13.0,34.0,Male,LinkedIn,65.0,1.0,12.0,4.0,15.0,Boredom
14.0,22.0,Female,Instagram,180.0,7.0,90.0,25.0,40.0,Happiness
15.0,28.0,Male,Twitter,100.0,6.0,40.0,23.0,28.0,Anger
16.0,21.0,Non-binary,Facebook,40.0,1.0,5.0,2.0,10.0,Neutral
17.0,35.0,Female,Instagram,125.0,4.0,55.0,18.0,30.0,Anxiety
18.0,27.0,Male,Twitter,90.0,3.0,33.0,15.0,25.0,Sadness
19.0,23.0,Non-binary,LinkedIn,50.0,1.0,8.0,3.0,12.0,Neutral
20.0,32.0,Female,Instagram,140.0,5.0,70.0,22.0,33.0,Happiness
21.0,26.0,Male,Facebook,75.0,2.0,25.0,10.0,18.0,Anxiety
22.0,24.0,Female,Twitter,105.0,4.0,28.0,14.0,20.0,Anger
23.0,29.0,Male,LinkedIn,60.0,2.0,11.0,5.0,17.0,Boredom
24.0,33.0,Non-binary,Instagram,190.0,8.0,95.0,26.0,45.0,Happiness
25.0,22.0,Female,Twitter,70.0,3.0,20.0,12.0,15.0,Sadness
26.0,31.0,Male,Facebook,80.0,2.0,18.0,8.0,21.0,Neutral
27.0,27.0,Non-binary,LinkedIn,55.0,1.0,9.0,2.0,11.0,Anxiety
28.0,25.0,Female,Instagram,160.0,6.0,85.0,19.0,32.0,Happiness
29.0,30.0,Male,Twitter,90.0,4.0,38.0,17.0,24.0,Anger
30.0,26.0,Non-binary,Facebook,45.0,1.0,6.0,3.0,10.0,Sadness
31.0,34.0,Female,LinkedIn,65.0,2.0,13.0,4.0,14.0,Boredom
32.0,28.0,Male,Instagram,145.0,5.0,75.0,20.0,35.0,Happiness
33.0,23.0,Non-binary,Twitter,70.0,3.0,27.0,11.0,18.0,Neutral
34.0,21.0,Female,Instagram,130.0,6.0,88.0,15.0,30.0,Sadness
35.0,29.0,Male,Facebook,65.0,2.0,22.0,8.0,20.0,Anxiety
36.0,24.0,Non-binary,LinkedIn,55.0,1.0,10.0,5.0,11.0,Boredom
37.0,33.0,Female,Instagram,170.0,7.0,90.0,25.0,40.0,Happiness
38.0,27.0,Male,Twitter,85.0,4.0,35.0,15.0,20.0,Anger
39.0,22.0,Female,Instagram,115.0,3.0,55.0,12.0,25.0,Neutral
40.0,28.0,Non-binary,Facebook,100.0,2.0,18.0,10.0,22.0,Anxiety
41.0,31.0,Male,LinkedIn,45.0,1.0,6.0,2.0,9.0,Sadness
42.0,25.0,Female,Instagram,150.0,6.0,80.0,18.0,30.0,Happiness
43.0,29.0,Male,Twitter,95.0,4.0,40.0,20.0,22.0,Anger
44.0,23.0,Non-binary,Facebook,105.0,2.0,20.0,8.0,18.0,Neutral
45.0,35.0,Female,LinkedIn,60.0,1.0,12.0,5.0,14.0,Boredom
46.0,30.0,Male,Instagram,175.0,7.0,85.0,23.0,38.0,Happiness
47.0,21.0,Female,Twitter,90.0,3.0,33.0,12.0,20.0,Sadness
48.0,26.0,Non-binary,Facebook,75.0,2.0,28.0,11.0,18.0,Anxiety
49.0,32.0,Male,Instagram,130.0,5.0,70.0,19.0,31.0,Neutral
50.0,28.0,Female,LinkedIn,55.0,1.0,8.0,4.0,10.0,Boredom
51.0,27.0,Male,Instagram,165.0,6.0,78.0,22.0,27.0,Happiness
52.0,24.0,Female,Twitter,75.0,3.0,29.0,15.0,19.0,Anger
53.0,29.0,Non-binary,Facebook,85.0,2.0,25.0,7.0,20.0,Neutral
54.0,33.0,Female,Instagram,145.0,4.0,60.0,18.0,35.0,Sadness
55.0,31.0,Male,LinkedIn,60.0,1.0,10.0,3.0,17.0,Anxiety
56.0,22.0,Female,Whatsapp,70.0,2.0,40.0,8.0,21.0,Anxiety
57.0,25.0,Male,Telegram,90.0,3.0,20.0,10.0,22.0,Boredom
58.0,29.0,Non-binary,Snapchat,50.0,2.0,15.0,5.0,18.0,Sadness
59.0,28.0,Female,Twitter,95.0,4.0,45.0,20.0,25.0,Happiness
60.0,27.0,Male,Facebook,60.0,1.0,10.0,4.0,15.0,Boredom
61.0,30.0,Female,Instagram,175.0,6.0,70.0,23.0,33.0,Happiness
62.0,23.0,Male,Whatsapp,70.0,3.0,20.0,8.0,18.0,Anger
63.0,34.0,Non-binary,Telegram,80.0,2.0,18.0,7.0,20.0,Neutral
64.0,26.0,Female,Snapchat,120.0,4.0,50.0,15.0,30.0,Anxiety
65.0,25.0,Male,Twitter,90.0,6.0,40.0,12.0,26.0,Sadness
66.0,29.0,Non-binary,Facebook,60.0,1.0,8.0,2.0,12.0,Boredom
67.0,28.0,Male,Instagram,165.0,5.0,75.0,18.0,35.0,Happiness
68.0,31.0,Female,Whatsapp,65.0,2.0,25.0,8.0,20.0,Neutral
69.0,27.0,Male,Telegram,105.0,3.0,45.0,15.0,28.0,Anxiety
70.0,22.0,Non-binary,Snapchat,75.0,2.0,18.0,6.0,20.0,Sadness
71.0,24.0,Female,Instagram,140.0,4.0,60.0,18.0,30.0,Happiness
72.0,35.0,Male,Twitter,70.0,1.0,12.0,7.0,10.0,Boredom
73.0,21.0,Non-binary,Facebook,55.0,3.0,15.0,5.0,12.0,Neutral
74.0,29.0,Female,Whatsapp,90.0,2.0,20.0,9.0,22.0,Anger
75.0,25.0,Male,Telegram,80.0,4.0,28.0,11.0,25.0,Neutral
76.0,28.0,Non-binary,Snapchat,115.0,3.0,36.0,12.0,27.0,Anxiety
77.0,32.0,Female,Instagram,155.0,6.0,72.0,20.0,38.0,Happiness
